ID, Level, Field, Name
9e179e43-36e5-4795-b3b0-6d5cea7a0d7f, f98a4eec-6693-4600-9d2f-54561356f3df, 00624361-c10c-4454-8108-0500325c8479,  Math 10
31d9833e-9c2d-4269-9460-352cd0552d8e, f98a4eec-6693-4600-9d2f-54561356f3df, c02dae04-f2a9-4953-b7a8-cbec3580f917,  Physics 10
f729cf81-9697-4a64-a533-824a4b5ca584, f98a4eec-6693-4600-9d2f-54561356f3df, 7508d78d-bdfe-481d-a38a-88437064aa9e,  Chemistry 10
57cd3338-a647-4ab2-9b17-e7f621a069b2, f98a4eec-6693-4600-9d2f-54561356f3df, 0ae00246-c15f-4526-9f55-0995d5bd510e,  Liturature 10
3b45cf09-0a83-4a96-8cb0-01f988b0b504, f98a4eec-6693-4600-9d2f-54561356f3df, 3160a100-f786-4ece-8755-1c548d860201,  English 10
2f1cc6e6-2882-4999-a572-4ed5681b7c85, f98a4eec-6693-4600-9d2f-54561356f3df, 3c680581-be97-469f-8cb4-913bd9e82a65,  Physical Education 10
288bfe4a-f08c-4ab7-b355-a4a04c8eb29a, f98a4eec-6693-4600-9d2f-54561356f3df, 05631a55-35bf-4325-a64c-9d3941134e1d,  Geography 10
fdcf732d-0991-407f-ac8d-9e7285f7ebdc, f98a4eec-6693-4600-9d2f-54561356f3df, c2c1373d-1366-4bda-be34-3a8ee4f7c88a,  History 10
f782d4fb-c9e6-4d84-a026-54a3f18d7596, 0d6dacb8-8356-46e1-9719-cc5eabac3788, 00624361-c10c-4454-8108-0500325c8479,  Math 11
6776111a-0475-4c9a-be51-91cc5de4032b, 0d6dacb8-8356-46e1-9719-cc5eabac3788, c02dae04-f2a9-4953-b7a8-cbec3580f917,  Physics 11
a33da99e-2d5c-4cae-ae07-1094a5465dec, 0d6dacb8-8356-46e1-9719-cc5eabac3788, 7508d78d-bdfe-481d-a38a-88437064aa9e,  Chemistry 11
d265c738-edea-48f9-96ef-0824327eef88, 0d6dacb8-8356-46e1-9719-cc5eabac3788, 0ae00246-c15f-4526-9f55-0995d5bd510e,  Liturature 11
e3b99ad9-3c6f-4dfb-a454-0ee5a3bdfa3d, 0d6dacb8-8356-46e1-9719-cc5eabac3788, 3160a100-f786-4ece-8755-1c548d860201,  English 11
3b75acba-812b-4891-bd72-ba45e7236cd0, 0d6dacb8-8356-46e1-9719-cc5eabac3788, 3c680581-be97-469f-8cb4-913bd9e82a65,  Physical Education 11
660e7267-a0e2-4d66-979b-58cefb2548b1, 0d6dacb8-8356-46e1-9719-cc5eabac3788, 05631a55-35bf-4325-a64c-9d3941134e1d,  Geography 11
ec6c1d75-8ca6-4d1a-87ae-aca7cda84b62, 0d6dacb8-8356-46e1-9719-cc5eabac3788, c2c1373d-1366-4bda-be34-3a8ee4f7c88a,  History 11
9eb1541d-6e7b-4c24-85c9-4831d8467e46, 0d6dacb8-8356-46e1-9719-cc5eabac3788, f7141bc2-0684-498c-8682-433db3992866,  Civic Education 11
a35f131f-550c-4044-b58e-9c7ddc2b814b, 0d6dacb8-8356-46e1-9719-cc5eabac3788, ab8da6b6-60cd-4220-9bcc-420922bb564c,  Computer Science 11
fa8ce5cf-cd65-4788-a0f0-8543da580bba, 93d33805-023f-4ff0-9e64-2ff42fa5808a, 00624361-c10c-4454-8108-0500325c8479,  Math 12
e9d5a378-c055-4de7-856c-92ccb23777d6, 93d33805-023f-4ff0-9e64-2ff42fa5808a, c02dae04-f2a9-4953-b7a8-cbec3580f917,  Physics 12
43d1d9f3-4c83-4c19-bd0b-271c4f6b7ca2, 93d33805-023f-4ff0-9e64-2ff42fa5808a, 7508d78d-bdfe-481d-a38a-88437064aa9e,  Chemistry 12
2c347c92-c15d-4848-a163-4dabb6bedb52, 93d33805-023f-4ff0-9e64-2ff42fa5808a, 0ae00246-c15f-4526-9f55-0995d5bd510e,  Liturature 12
0a226328-6df4-4d67-9dd4-1e4316832d6d, 93d33805-023f-4ff0-9e64-2ff42fa5808a, 3160a100-f786-4ece-8755-1c548d860201,  English 12
11949e4b-7e4a-4c2b-aa39-a88b25d350f0, 93d33805-023f-4ff0-9e64-2ff42fa5808a, 3c680581-be97-469f-8cb4-913bd9e82a65,  Physical Education 12
49e88764-ea55-46ff-8bc4-663cc5a966b3, 93d33805-023f-4ff0-9e64-2ff42fa5808a, 05631a55-35bf-4325-a64c-9d3941134e1d,  Geography 12
58ac4318-6efe-4365-8574-cd7e693bf3d5, 93d33805-023f-4ff0-9e64-2ff42fa5808a, c2c1373d-1366-4bda-be34-3a8ee4f7c88a,  History 12
a4b1b71d-0f70-4507-b288-3f192021a841, 93d33805-023f-4ff0-9e64-2ff42fa5808a, f7141bc2-0684-498c-8682-433db3992866,  Civic Education 12
