ID, Name
00624361-c10c-4454-8108-0500325c8479, Math
c02dae04-f2a9-4953-b7a8-cbec3580f917, Physics
7508d78d-bdfe-481d-a38a-88437064aa9e, Chemistry
0ae00246-c15f-4526-9f55-0995d5bd510e, Liturature
3160a100-f786-4ece-8755-1c548d860201, English
3c680581-be97-469f-8cb4-913bd9e82a65, Physical Education
05631a55-35bf-4325-a64c-9d3941134e1d, Geography
c2c1373d-1366-4bda-be34-3a8ee4f7c88a, History
f7141bc2-0684-498c-8682-433db3992866, Civic Education
ab8da6b6-60cd-4220-9bcc-420922bb564c, Computer Science
