ID, Name, Level, Field
f9861894-7e3a-4368-a8d2-3fb8a0d82926, Math 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, b8d770b0-0457-475f-adce-486be71d82e3
4837395f-197e-40ec-b982-6c69c512236d, Math 11, f09aec5c-568e-4bae-a00b-9623d6788319, b8d770b0-0457-475f-adce-486be71d82e3
53a2d521-c6f2-437b-a90f-18a4303142c8, Math 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, b8d770b0-0457-475f-adce-486be71d82e3
f4a1c274-287d-4bd5-ac6a-af7a49d40ed2, PE 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, e3d45263-1297-4726-af31-5c978886296e
d18077c4-1be7-4ec8-babe-8e594114db06, PE 11, f09aec5c-568e-4bae-a00b-9623d6788319, e3d45263-1297-4726-af31-5c978886296e
e4c5571c-f08b-45d7-9266-b1be8c04f3b9, PE 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, e3d45263-1297-4726-af31-5c978886296e
56c3d175-e2cd-4805-b5cb-13af5dd6215f, Literature 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, 3874c22a-5084-49d6-ac3a-51592cb3e5f0
1ca19d01-ae95-46bc-a9a1-2b69e6b88053, Literature 11, f09aec5c-568e-4bae-a00b-9623d6788319, 3874c22a-5084-49d6-ac3a-51592cb3e5f0
3ed7c87d-52b1-4615-aa15-5f3983de2136, Literature 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, 3874c22a-5084-49d6-ac3a-51592cb3e5f0
446c7636-1d11-4100-8e93-a487524c9d88, History 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, e7985c8e-757c-469d-b6fd-fabf63478166
2ef46a65-709b-4566-aadc-0611391311e6, History 11, f09aec5c-568e-4bae-a00b-9623d6788319, e7985c8e-757c-469d-b6fd-fabf63478166
5435feb3-c145-4b6a-8b8a-fcccf1c7c086, History 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, e7985c8e-757c-469d-b6fd-fabf63478166
8f48492e-3b41-47f0-a3ef-bf0364b7614d, Chemistry 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, 96a2fbdf-cc96-46a4-b9c2-42477b3e8d64
5f673b63-8bb9-4418-a8b5-b15acc29017c, Chemistry 11, f09aec5c-568e-4bae-a00b-9623d6788319, 96a2fbdf-cc96-46a4-b9c2-42477b3e8d64
9a716686-0725-4687-98a4-886ba01ebbeb, Chemistry 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, 96a2fbdf-cc96-46a4-b9c2-42477b3e8d64
f66df16e-1754-4c82-a0a1-3677f073bb0e, Physics 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, 5c31f3f4-a3c4-44a1-a8de-e4cff0e8aa7e
83dab227-1d09-412e-9b89-4ae5dcb585f1, Physics 11, f09aec5c-568e-4bae-a00b-9623d6788319, 5c31f3f4-a3c4-44a1-a8de-e4cff0e8aa7e
0c4f177b-7244-47d1-8a83-4c4fc03ad9cd, Physics 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, 5c31f3f4-a3c4-44a1-a8de-e4cff0e8aa7e
d2a2c16a-e6f4-4097-83f4-d891e468256a, Biology 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, 201aed73-4e71-480a-ad79-0006033fcc95
6ff04762-d3f3-45da-a746-012b902ede79, Biology 11, f09aec5c-568e-4bae-a00b-9623d6788319, 201aed73-4e71-480a-ad79-0006033fcc95
885baaee-b859-48b7-b860-e848a93f868d, Biology 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, 201aed73-4e71-480a-ad79-0006033fcc95
4f830cae-91ee-48f4-856b-13543e54cce9, English 10, cde8ba2e-3a59-4d6f-9b69-26b308ca530e, 1cfed20f-b8db-4918-9e78-c6743292b8ad
384853df-1433-47f6-9a3b-83bda78411ec, English 11, f09aec5c-568e-4bae-a00b-9623d6788319, 1cfed20f-b8db-4918-9e78-c6743292b8ad
d88c4c9f-c038-4dce-b31e-ec0e92d3fd81, English 12, f1520333-f2ed-43bc-8a31-7e1807f7da80, 1cfed20f-b8db-4918-9e78-c6743292b8ad
